2009-01,100,24.6
2009-02,100,24.9
2009-03,100,97.5
2009-04,100,50.4
2009-05,100,74.9
2009-06,100,105.2
2009-07,100,517.8
2009-08,100,189.9
2009-09,100,33
2009-10,100,71.4
2009-11,100,120.1
2009-12,100,22
2010-01,100,38.9
2010-02,100,68.6
2010-03,100,141.6
2010-04,100,43
2010-05,100,122.6
2010-06,100,26.5
2010-07,100,115.4
2010-08,100,243.7
2010-09,100,332.8
2010-10,100,32.9
2010-11,100,31.2
2010-12,100,20.1
2011-01,100,11.5
2011-02,100,87.2
2011-03,100,26.7
2011-04,100,152.8
2011-05,100,125
2011-06,100,390.5
2011-07,100,436.3
2011-08,100,155.7
2011-09,100,183
2011-10,100,63.7
2011-11,100,83.3
2011-12,100,46.4
2012-01,100,27.6
2012-02,100,7.8
2012-03,100,82.8
2012-04,100,129.1
2012-05,100,59.8
2012-06,100,104.8
2012-07,100,269.2
2012-08,100,325.5
2012-09,100,161.5
2012-10,100,26.7
2012-11,100,34.7
2012-12,100,59.2
2013-01,100,47.9
2013-02,100,37.1
2013-03,100,55.5
2013-04,100,46.9
2013-05,100,82.8
2013-06,100,83.8
2013-07,100,392
2013-08,100,51.6
2013-09,100,122.5
2013-10,100,54.5
2013-11,100,44.2
2013-12,100,33.5
2014-01,100,35.8
2014-02,100,97.3
2014-03,100,45
2014-04,100,142.7
2014-05,100,28.3
2014-06,100,88.6
2014-07,100,146.8
2014-08,100,350.7
2014-09,100,139
2014-10,100,182.3
2014-11,100,41.4
2014-12,100,11.7
2015-01,100,21.4
2015-02,100,19.9
2015-03,100,21.5
2015-04,100,62.7
2015-05,100,13
2015-06,100,88.2
2015-07,100,135.6
2015-08,100,308.2
2015-09,100,65.7
2015-10,100,35.5
2015-11,100,194.7
2015-12,100,15.5
2016-01,100,2.6
2016-02,100,39
2016-03,100,18.4
2016-04,100,84.5
2016-05,100,46.8
2016-06,100,64.3
2016-07,100,421.3
2016-08,100,260.4
2016-09,100,102.1
2016-10,100,78.3
2016-11,100,13.3
2016-12,100,53
2017-01,100,22.3
2017-02,100,7.2
2017-03,100,17.8
2017-04,100,61.1
2017-05,100,31.6
2017-06,100,73
2017-07,100,355.4
2017-08,100,293.3
2017-09,100,69.3
2017-10,100,53.3
2017-11,100,32.4
2017-12,100,8.6
2018-01,100,4.3
2018-02,100,43.2
2018-03,100,72.9
2018-04,100,128.7
2018-05,100,203
2018-06,100,83.5
2018-07,100,228
2018-08,100,542.6
2018-09,100,195.4
2018-10,100,158.4
2018-11,100,50.4
2018-12,100,21
2019-01,100,0.5
2019-02,100,16.7
2019-03,100,48.5
2019-04,100,59.9
2019-05,100,5.6
2019-06,100,168.5
2019-07,100,183.8
2019-08,100,205.8
2019-09,100,251.5
2019-10,100,176.9
2019-11,100,78.4
2019-12,100,2.4
